generation,truePopSize
1,12
2,12
3,13
4,12
5,11
6,12
7,13
8,14
9,15
10,14
11,15
12,16
13,17
14,16
15,16
16,17
17,15
18,16
19,17
20,17
21,17
22,17
23,17
24,17
25,17
26,15
27,15
28,15
29,15
30,16
31,16
32,16
33,16
34,15
35,15
36,16
37,16
38,16
39,16
40,16
41,15
42,15
43,15
44,16
45,16
46,15
47,15
48,15
49,15
50,16
51,16
52,15
53,15
54,15
55,16
56,16
57,16
58,15
59,15
60,16
61,16
62,16
63,15
64,15
65,15
66,15
67,15
68,16
69,16
70,15
71,15
72,15
73,16
74,16
75,16
76,16
77,16
78,15
79,15
80,16
81,16
82,16
83,16
84,16
85,16
86,16
87,16
88,16
89,16
90,16
91,16
92,16
93,16
94,16
95,16
96,16
97,16
98,16
99,16
