generation,updatedNum
1,36
2,38
3,30
4,30
5,26
6,23
7,24
8,24
9,20
10,19
11,16
12,17
13,28
14,18
15,20
16,14
17,17
18,15
19,17
20,16
21,14
22,17
23,13
24,17
25,14
26,15
27,9
28,10
29,17
30,14
31,12
32,13
33,10
34,12
35,12
36,12
37,11
38,11
39,9
40,15
41,11
42,16
43,18
44,19
45,14
46,15
47,20
48,18
49,14
50,13
51,13
52,20
53,10
54,10
55,15
56,12
57,11
58,12
59,13
60,11
61,19
62,9
63,14
64,9
65,10
66,11
67,13
68,9
69,13
70,14
71,11
72,7
73,10
74,12
75,10
76,13
77,16
78,13
79,10
80,13
81,13
82,13
83,12
84,17
85,7
86,7
87,17
88,12
89,13
90,15
91,11
92,13
93,18
94,12
95,16
96,15
97,11
98,12
99,18
